index,relative_path,filename,type,size_bytes,size_mb,scraped_at
81,data\raw\rellis3d\distributed.py,distributed.py,py,606,0.0006,2026-07-10T11:08:09.608135+00:00
82,data\raw\rellis3d\modelsummary.py,modelsummary.py,py,4817,0.0048,2026-07-10T11:08:09.608135+00:00
83,data\raw\rellis3d\utils.py,utils.py,py,4377,0.0044,2026-07-10T11:08:09.608135+00:00
84,data\raw\rellis3d\_init_paths.py,_init_paths.py,py,591,0.0006,2026-07-10T11:08:09.608135+00:00
85,data\raw\rellis3d\test.py,test.py,py,5620,0.0056,2026-07-10T11:08:09.608135+00:00
86,data\raw\rellis3d\setup.py,setup.py,py,619,0.0006,2026-07-10T11:08:09.608135+00:00
87,data\raw\rellis3d\plot_convergence.py,plot_convergence.py,py,24506,0.0245,2026-07-10T11:08:09.608135+00:00
88,data\raw\rellis3d\test_models.py,test_models.py,py,7467,0.0075,2026-07-10T11:08:09.608135+00:00
89,data\raw\rellis3d\train_ModelNet40.py,train_ModelNet40.py,py,8717,0.0087,2026-07-10T11:08:09.608135+00:00
90,data\raw\rellis3d\train_Rellis.py,train_Rellis.py,py,10295,0.0103,2026-07-10T11:08:09.608135+00:00
91,data\raw\rellis3d\train_S3DIS.py,train_S3DIS.py,py,9594,0.0096,2026-07-10T11:08:09.608135+00:00
92,data\raw\rellis3d\train_SemanticKitti.py,train_SemanticKitti.py,py,10297,0.0103,2026-07-10T11:08:09.608135+00:00
93,data\raw\rellis3d\visualize_deformations.py,visualize_deformations.py,py,6225,0.0062,2026-07-10T11:08:09.608135+00:00
94,data\raw\rellis3d\run_gscnn.sh,run_gscnn.sh,sh,187,0.0002,2026-07-10T11:08:09.608135+00:00
95,data\raw\rellis3d\run_gscnn_eval.sh,run_gscnn_eval.sh,sh,527,0.0005,2026-07-10T11:08:09.608135+00:00
96,data\raw\rellis3d\run_hrnet.sh,run_hrnet.sh,sh,327,0.0003,2026-07-10T11:08:09.608135+00:00
97,data\raw\rellis3d\run_hrnet_test.sh,run_hrnet_test.sh,sh,587,0.0006,2026-07-10T11:08:09.608135+00:00
98,data\raw\rellis3d\compile_wrappers.sh,compile_wrappers.sh,sh,185,0.0002,2026-07-10T11:08:09.608135+00:00
99,data\raw\rellis3d\run_kpconv.sh,run_kpconv.sh,sh,32,0.0,2026-07-10T11:08:09.608135+00:00
100,data\raw\rellis3d\bibtex.txt,bibtex.txt,txt,202,0.0002,2026-07-10T11:08:09.608135+00:00
101,data\raw\rellis3d\gscnn.txt,gscnn.txt,txt,1370,0.0014,2026-07-10T11:08:09.608135+00:00
102,data\raw\rellis3d\requirements.txt,requirements.txt,txt,136,0.0001,2026-07-10T11:08:09.608135+00:00
103,data\raw\rellis3d\gscnn_requirement.txt,gscnn_requirement.txt,txt,1066,0.0011,2026-07-10T11:08:09.608135+00:00
104,data\raw\rellis3d\requirement.txt,requirement.txt,txt,2048,0.002,2026-07-10T11:08:09.608135+00:00
105,data\raw\rellis3d\index.html,index.html,html,13416,0.0134,2026-07-10T11:08:09.608135+00:00
106,data\raw\rellis3d\OCR.PNG,OCR.PNG,PNG,65653,0.0657,2026-07-10T11:08:09.608135+00:00
107,data\raw\rellis3d\.gitignore,.gitignore,,2978,0.003,2026-07-10T11:08:09.608135+00:00
108,data\raw\rellis3d\Dockerfile,Dockerfile,,877,0.0009,2026-07-10T11:08:09.608135+00:00
109,data\raw\rellis3d\LICENSE,LICENSE,,1171,0.0012,2026-07-10T11:08:09.608135+00:00
110,data\raw\rellis3d\scrape_result.json,scrape_result.json,json,181,0.0002,2026-07-10T11:08:09.608135+00:00
111,data\raw\rellis3d\repo_metadata_v2.json,repo_metadata_v2.json,json,7222,0.0072,2026-07-10T11:08:09.608135+00:00
112,data\raw\rellis3d\github_main.html,github_main.html,html,370103,0.3701,2026-07-10T11:08:09.608135+00:00
113,data\raw\rellis3d\api_repo.json,api_repo.json,json,6470,0.0065,2026-07-10T11:08:09.608135+00:00
114,data\raw\rellis3d\deep_scrape_result.json,deep_scrape_result.json,json,746,0.0007,2026-07-10T11:08:09.608135+00:00
115,data\raw\semantickitti\index.html,index.html,html,15617,0.0156,2026-07-10T11:08:09.608135+00:00
116,data\raw\semantickitti\dataset.html,dataset.html,html,13263,0.0133,2026-07-10T11:08:09.608135+00:00
117,data\raw\semantickitti\scrape_result.json,scrape_result.json,json,1040,0.001,2026-07-10T11:08:09.608135+00:00
118,data\raw\semantickitti\tasks.html,tasks.html,html,67335,0.0673,2026-07-10T11:08:09.608135+00:00
119,data\raw\semantickitti\benchmarks.html,benchmarks.html,html,67335,0.0673,2026-07-10T11:08:09.608135+00:00
120,data\raw\semantickitti\main.html,main.html,html,15617,0.0156,2026-07-10T11:08:09.608135+00:00
121,data\raw\semantickitti\deep_scrape_result.json,deep_scrape_result.json,json,810,0.0008,2026-07-10T11:08:09.608135+00:00
122,data\raw\tartandrive2\index.html,index.html,html,24678,0.0247,2026-07-10T11:08:09.608135+00:00
123,data\raw\tartandrive2\arxiv_abstract.html,arxiv_abstract.html,html,42082,0.0421,2026-07-10T11:08:09.608135+00:00
124,data\raw\tartandrive2\scrape_result.json,scrape_result.json,json,542,0.0005,2026-07-10T11:08:09.608135+00:00
125,data\raw\tartandrive2\paper_abstract.html,paper_abstract.html,html,42082,0.0421,2026-07-10T11:08:09.608135+00:00
126,data\raw\tartandrive2\website.html,website.html,html,24678,0.0247,2026-07-10T11:08:09.608135+00:00
127,data\raw\tartandrive2\main.html,main.html,html,24678,0.0247,2026-07-10T11:08:09.608135+00:00
128,data\raw\tartandrive2\arxiv.html,arxiv.html,html,43002,0.043,2026-07-10T11:08:09.608135+00:00
129,data\raw\tartandrive2\arxiv_metadata.xml,arxiv_metadata.xml,xml,3119,0.0031,2026-07-10T11:08:09.608135+00:00
130,data\raw\tartandrive2\deep_scrape_result.json,deep_scrape_result.json,json,253,0.0003,2026-07-10T11:08:09.608135+00:00
